Player,Team,Age,Games Played,RushingAtt,RushingYDs,Y/A,RushingTD,Tgt,Rec,ReceivingYDs,Y/R,ReceivingTD,FL,FantasyPoints,FantasyPoints/GM,Usage/GM,RushingAtt/Gm,TD/Usage
Christian McCaffrey,CAR,23,16,287,1387,4.83,15,142,116,1005,8.66,4,0,469.20000000000005,29.33,26.81,17.9375,0.04428904428904429
Derrick Henry,TEN,25,15,303,1540,5.08,16,24,18,206,11.44,2,3,294.6,19.64,21.8,20.2,0.05504587155963303
Aaron Jones,GNB,25,16,236,1084,4.59,16,68,49,474,9.67,3,2,314.8,19.68,19.0,14.75,0.0625
Ezekiel Elliott,DAL,24,16,301,1357,4.51,12,71,54,420,7.78,2,2,311.70000000000005,19.48,23.25,18.8125,0.03763440860215054
Dalvin Cook,MIN,24,14,250,1135,4.54,13,63,53,519,9.79,0,2,292.4,20.89,22.36,17.857142857142858,0.04153354632587859
Nick Chubb,CLE,24,16,298,1494,5.01,8,49,36,278,7.72,0,3,255.2,15.95,21.69,18.625,0.023054755043227664
Austin Ekeler,LAC,24,16,132,557,4.22,3,108,92,993,10.79,8,2,309.0,19.31,15.0,8.25,0.04583333333333333
Mark Ingram,BAL,30,15,202,1018,5.04,10,29,26,247,9.5,5,2,238.5,15.9,15.4,13.466666666666667,0.06493506493506493
Chris Carson,SEA,25,15,278,1230,4.42,7,47,37,266,7.19,2,4,232.6,15.51,21.67,18.533333333333335,0.027692307692307693
Saquon Barkley,NYG,22,13,217,1003,4.62,6,73,52,438,8.42,2,0,244.10000000000002,18.78,22.31,16.692307692307693,0.027586206896551724
Joe Mixon,CIN,23,16,278,1137,4.09,5,45,35,287,8.2,3,0,225.39999999999998,14.09,20.19,17.375,0.02476780185758514
Todd Gurley,LAR,25,15,223,857,3.84,12,49,31,207,6.68,2,2,217.39999999999998,14.49,18.13,14.866666666666667,0.051470588235294115
Leonard Fournette,JAX,24,15,265,1152,4.35,3,100,76,522,6.87,0,1,259.4,17.29,24.33,17.666666666666668,0.00821917808219178
Josh Jacobs,OAK,21,13,242,1150,4.75,7,27,20,166,8.3,0,1,191.6,14.74,20.69,18.615384615384617,0.026022304832713755
Miles Sanders,PHI,22,16,179,818,4.57,3,63,50,509,10.18,3,1,216.70000000000002,13.54,15.12,11.1875,0.024793388429752067
Alvin Kamara,NOR,24,14,171,797,4.66,5,97,81,533,6.58,1,1,248.0,17.71,19.14,12.214285714285714,0.022388059701492536
Marlon Mack,IND,23,14,247,1091,4.42,8,17,14,82,5.86,0,0,179.3,12.81,18.86,17.642857142857142,0.030303030303030304
Kenyan Drake,2TM,25,14,170,817,4.81,8,68,50,345,6.9,0,1,212.2,15.16,17.0,12.142857142857142,0.03361344537815126
Phillip Lindsay,DEN,25,16,224,1011,4.51,7,48,35,196,5.6,0,0,197.70000000000002,12.36,17.0,14.0,0.025735294117647058
Raheem Mostert,SFO,27,16,137,772,5.64,8,22,14,180,12.86,2,2,165.2,10.32,9.94,8.5625,0.06289308176100629
Le'Veon Bell,NYJ,27,15,245,789,3.22,3,78,66,461,6.98,1,1,213.0,14.2,21.53,16.333333333333332,0.01238390092879257
David Montgomery,CHI,22,16,242,889,3.67,6,35,25,185,7.4,1,2,170.4,10.65,17.31,15.125,0.02527075812274368
Carlos Hyde,HOU,29,16,245,1070,4.37,6,16,10,42,4.2,0,2,153.2,9.57,16.31,15.3125,0.022988505747126436
Sony Michel,NWE,24,16,247,912,3.69,7,20,12,94,7.83,0,1,152.6,9.54,16.69,15.4375,0.026217228464419477
Devonta Freeman,ATL,27,14,184,656,3.57,2,70,59,410,6.95,4,2,197.60000000000002,14.11,18.14,13.142857142857142,0.023622047244094488
Melvin Gordon,LAC,26,12,162,612,3.78,8,55,42,296,7.05,1,3,180.79999999999998,15.07,18.08,13.5,0.041474654377880185
