Player,Team,Age,Games Played,Tgt,Rec,ReceivingYDs,Y/R,ReceivingTD,FL
Travis Kelce,KAN,30,16,136,97,1229,12.67,5,1
Mark Andrews,BAL,23,15,98,64,852,13.31,10,1
George Kittle,SFO,26,14,107,85,1053,12.39,5,0
Darren Waller,OAK,27,16,117,90,1145,12.72,3,1
Zach Ertz,PHI,29,15,135,88,916,10.41,6,1
Jared Cook,NOR,32,14,65,43,705,16.4,9,0
Austin Hooper,ATL,25,13,97,75,787,10.49,6,0
Hunter Henry,LAC,25,12,76,55,652,11.85,5,1
Tyler Higbee,LAR,26,15,89,69,734,10.64,3,0
Dallas Goedert,PHI,24,15,87,58,607,10.47,5,2
Mike Gesicki,MIA,24,16,89,51,570,11.18,5,1
Jason Witten,DAL,37,16,83,63,529,8.4,4,1
Darren Fells,HOU,33,16,48,34,341,10.03,7,0
Kyle Rudolph,MIN,30,16,48,39,367,9.41,6,0
Greg Olsen,CAR,34,14,82,52,597,11.48,2,0
Noah Fant,DEN,22,16,66,40,562,14.05,3,1
Jonnu Smith,TEN,24,16,44,35,439,12.54,3,0
Jack Doyle,IND,29,16,72,43,448,10.42,4,0
Evan Engram,NYG,25,8,68,44,467,10.61,3,0
Tyler Eifert,CIN,29,16,63,43,436,10.14,3,0
Ryan Griffin,NYJ,29,13,41,34,320,9.41,5,0
Jimmy Graham,GNB,33,16,60,38,447,11.76,3,0
Eric Ebron,IND,26,11,52,31,375,12.1,3,0
Cameron Brate,TAM,28,16,55,36,311,8.64,4,0
Blake Jarwin,DAL,25,16,41,31,365,11.77,3,0
Jordan Akins,HOU,27,16,55,36,418,11.61,2,0
Gerald Everett,LAR,25,13,60,37,408,11.03,2,0
Jacob Hollister,SEA,26,11,59,41,349,8.51,3,0
Dawson Knox,BUF,23,15,50,28,388,13.86,2,0
Will Dissly,SEA,23,6,27,23,262,11.39,4,0
O.J. Howard,TAM,25,14,53,34,459,13.5,1,1
T.J. Hockenson,DET,22,12,59,32,367,11.47,2,0
Hayden Hurst,BAL,26,16,39,30,349,11.63,2,0
Foster Moreau,OAK,22,13,25,21,174,8.29,5,0
Vance McDonald,PIT,29,14,55,38,273,7.18,3,0
Ricky Seals-Jones,CLE,24,14,22,14,229,16.36,4,1
Kaden Smith,NYG,22,9,42,31,268,8.65,3,0
Nick Boyle,BAL,26,16,43,31,321,10.35,2,0
Irv Smith Jr.,MIN,21,16,47,36,311,8.64,2,0
Josh Hill,NOR,29,16,35,25,226,9.04,3,0
C.J. Uzomah,CIN,26,16,40,27,242,8.96,2,0
Demetrius Harris,CLE,28,15,27,15,149,9.93,3,0
Delanie Walker,TEN,35,7,31,21,215,10.24,2,0
Charles Clay,ARI,30,15,24,18,237,13.17,1,0
Jeremy Sprinkle,WAS,25,16,40,26,241,9.27,1,0
James O'Shaughnessy,JAX,27,5,20,14,153,10.93,2,0
Anthony Firkser,TEN,24,15,24,14,204,14.57,1,0
Maxx Williams,ARI,25,16,18,15,202,13.47,1,0
Dan Arnold,2TM,24,5,14,8,127,15.88,2,0
Rhett Ellison,NYG,31,10,28,18,167,9.28,1,0
Logan Thomas,DET,28,16,28,16,173,10.81,1,0
Marcedes Lewis,GNB,35,16,19,15,156,10.4,1,0
Ross Dwelley,SFO,24,16,22,15,91,6.07,2,0
Jaeden Graham,ATL,24,16,10,9,149,16.56,1,0
Derek Carrier,OAK,29,16,19,13,108,8.31,1,0
Ian Thomas,CAR,23,16,30,16,136,8.5,1,0
Matt LaCosse,NWE,27,11,19,13,131,10.08,1,0
Vernon Davis,WAS,35,4,19,10,123,12.3,1,0
Jeff Heuerman,DEN,27,14,20,14,114,8.14,1,0
Ryan Izzo,NWE,24,6,9,6,114,19.0,1,0
Nick O'Leary,2TM,27,12,18,13,109,8.38,1,0
Nick Vannett,2TM,26,16,22,17,166,9.76,0,0
Ben Watson,NWE,39,10,24,17,173,10.18,0,0
