Player,Team,Age,Games Played,RushingAtt,RushingYDs,Y/A,RushingTD,Tgt,Rec,ReceivingYDs,Y/R,ReceivingTD,FL
Michael Thomas,NOR,26,16,1,-9,-9.0,0,185,149,1725,11.58,9,0
Chris Godwin,TAM,23,14,1,8,8.0,0,121,86,1333,15.5,9,0
Kenny Golladay,DET,26,16,0,0,,0,116,65,1190,18.31,11,1
Cooper Kupp,LAR,26,16,2,4,2.0,0,134,94,1161,12.35,10,0
Julio Jones,ATL,30,15,2,-3,-1.5,0,157,99,1394,14.08,6,0
DeVante Parker,MIA,26,16,0,0,,0,128,72,1202,16.69,9,0
Amari Cooper,DAL,25,16,1,6,6.0,0,119,79,1189,15.05,8,0
Mike Evans,TAM,26,13,0,0,,0,118,67,1157,17.27,8,0
A.J. Brown,TEN,22,16,3,60,20.0,1,84,52,1051,20.21,8,0
DeAndre Hopkins,HOU,27,15,2,18,9.0,0,150,104,1165,11.2,7,0
Keenan Allen,LAC,27,16,3,16,5.33,0,149,104,1199,11.53,6,0
Allen Robinson,CHI,26,16,1,2,2.0,0,154,98,1147,11.7,7,0
Julian Edelman,NWE,33,16,8,27,3.38,0,153,100,1117,11.17,6,1
Jarvis Landry,CLE,27,16,1,10,10.0,0,138,83,1174,14.14,6,0
Tyler Lockett,SEA,27,16,4,-5,-1.25,0,110,82,1057,12.89,8,0
DJ Chark,JAX,23,15,2,20,10.0,0,118,73,1008,13.81,8,0
Courtland Sutton,DEN,24,16,3,17,5.67,0,124,72,1112,15.44,6,0
Stefon Diggs,MIN,26,15,5,61,12.2,0,94,63,1130,17.94,6,3
John Brown,BUF,29,15,2,7,3.5,0,115,72,1060,14.72,6,0
Michael Gallup,DAL,23,14,0,0,,0,113,66,1107,16.77,6,0
D.J. Moore,CAR,22,15,6,40,6.67,0,135,87,1175,13.51,4,1
Robert Woods,LAR,27,15,17,115,6.76,1,139,90,1134,12.6,2,0
Calvin Ridley,ATL,25,13,2,34,17.0,0,93,63,866,13.75,7,0
Terry McLaurin,WAS,23,14,0,0,,0,93,58,919,15.84,7,0
Tyler Boyd,CIN,25,16,4,23,5.75,0,148,90,1046,11.62,5,2
Deebo Samuel,SFO,23,15,14,159,11.36,3,81,57,802,14.07,3,1
Marvin Jones,DET,29,13,2,0,0.0,0,91,62,779,12.56,9,0
Tyreek Hill,KAN,25,12,8,23,2.88,0,89,58,860,14.83,7,0
Davante Adams,GNB,27,12,0,0,,0,127,83,997,12.01,5,1
D.K. Metcalf,SEA,22,16,2,11,5.5,0,100,58,900,15.52,7,3
Odell Beckham,CLE,27,16,3,10,3.33,0,133,74,1035,13.99,4,1
Emmanuel Sanders,2TM,32,17,0,0,,0,97,66,869,13.17,5,0
Darius Slayton,NYG,22,14,0,0,,0,84,48,740,15.42,8,0
